"","REO","RESBP","EE","PE","RESAP","CEG"
"130",3.5,2.286,2.25,3.857,3,3.069
"131",4.625,4.857,5,4.429,4,4.621
"132",3.5,3.143,3,4.429,2.333,3.448
"133",3.875,3.571,5,4.286,3.667,4.034
"134",3.5,3.143,4.75,4.429,3.667,3.828
"135",3.625,3,3,3.571,3,3.31
"136",4.125,1.571,4,3,2,3
"137",4.5,3.571,3.5,4.143,4.333,4.034
"138",4.25,2.429,4,4.286,2.333,3.586
"139",4.125,3.143,3.5,4.714,4.333,3.966
"140",3.5,3.571,2.5,4.143,4.667,3.655
"141",4.875,1.714,2,4.571,2,3.345
"142",4.875,3.714,5,4.429,5,4.517
"143",4.125,3.571,2.5,5,4.333,4
"144",3.875,3.857,3.5,3.429,3.333,3.655
"145",4.5,3.286,2.75,4.571,4,3.931
"146",4.375,3.857,2.5,4.857,5,4.172
"147",3,3,3,3,3,3
"148",4.625,3.571,4.25,4.429,4.333,4.241
"149",3.5,2.429,3.5,3.714,3,3.241
"150",2.5,2.857,4.25,3.429,3.333,3.138
"151",4.625,3.286,1.75,4.857,3.333,3.828
"152",3,3.143,2.25,3.714,3.667,3.172
"153",4,1.571,2,4.286,3,3.103
"154",2.25,2.429,4.5,3,3.667,2.931
"155",4,3.571,2.5,4,3,3.586
"156",3,3.571,4.25,4,3,3.552
"157",3.5,3.429,4,3.857,1.333,3.414
"158",3.125,4,4.25,4.143,3.667,3.793
"159",4.25,2.429,2.25,5,1,3.379
"160",5,4.429,3.25,5,3.667,4.483
"161",4.75,4.143,4.75,4.714,4.667,4.586
"162",3,2.429,4.25,4,2.333,3.207
"163",2.125,1.571,2.5,3.143,2.333,2.31
"164",2.625,2.857,2.75,2.429,3,2.69
"165",1.25,1,4.75,2.857,1.667,2.103
"166",4.5,4.429,3.25,4.714,2.333,4.138
"167",4.875,1.571,4.5,4.143,1.333,3.483
"168",3.5,2.714,3,5,1,3.345
"169",3.125,3.286,3.5,3.571,2.667,3.276
"170",3.625,3.286,1.75,4.857,2.667,3.483
"171",3.5,3,4.5,4.429,4,3.793
"172",4,2.571,4,3.714,3.333,3.517
"173",4.25,2.857,4.5,4.143,4,3.897
"174",3.375,3.714,4.5,4.429,3.667,3.897
"175",3.625,3.286,3.75,4,4.667,3.759
"176",2.625,1.429,2.5,4.143,3.667,2.793
"177",3.375,3.714,2.75,3.857,3.333,3.483
"178",3.375,2.429,4,3.857,3.667,3.379
"179",4,3.143,3.5,4.286,3,3.69
"180",4.875,2.571,5,3.286,3,3.759
"181",5,3.286,5,4.857,4,4.448
"182",4.875,3.857,5,4.571,3.333,4.414
"183",3.25,2.429,4.5,4.571,4.333,3.655
"184",5,5,5,5,3.667,4.862
"185",3.25,3,3.5,4.714,3.333,3.586
"186",5,4.429,4,5,1.333,4.345
"187",3.25,2.857,3.75,3.571,2.667,3.241
"188",3.375,2.571,4.5,4.429,3.333,3.586
"189",3.875,2.714,3,4.143,3.333,3.483
"190",4,3,3.5,4,2.333,3.517
"191",3.125,3.714,2.25,4.714,2.333,3.448
"192",4.125,3.286,2,2.714,4.667,3.345
"193",5,2.286,3,4.571,1,3.552
"194",5,4.286,4,5,5,4.69
"195",3.25,3.286,1.5,3,3.667,3
"196",4.375,1.714,3,4,3.333,3.345
"197",2.375,2.286,4.25,4.571,3.667,3.276
"198",4.375,2.857,4,4.429,3.667,3.897
"199",3.875,2.286,5,4.714,3.667,3.828
"200",3,3.429,2.5,4.286,4,3.448
"201",3.125,3.143,2.75,4.286,3,3.345
"202",2.375,3.286,4.5,4.429,2,3.345
"203",4.125,1.857,4.75,4.429,3.667,3.69
"204",4.125,2.857,3,2.714,2.667,3.172
"205",1.875,3.429,3.25,2.571,4,2.828
"206",3.25,3,2.25,2.857,2.333,2.862
"207",4,3.429,3.25,4.429,4,3.862
"208",3.125,4,3.25,3.571,4,3.552
"209",3.625,3.429,2.5,4,4.333,3.586
"210",3.5,2.857,1.75,4.143,3.333,3.241
"211",2.5,2.857,3.5,5,3.333,3.414
"212",2.5,3.571,4.25,4.571,4,3.655
"213",3.625,3.714,2,4.714,4,3.724
"214",3,1,2,4.286,3,2.69
"215",2.75,3.143,1.75,4.143,3,3.069
"216",3.125,3,2.75,3.286,1.333,2.897
"217",3.25,3.571,4.25,4.429,4,3.828
"218",3.375,2.714,3.75,4.143,3.667,3.483
"219",3.5,2.286,3.75,4,3,3.31
"220",4,4.143,2.5,4.571,3.667,3.931
"221",3.625,2.857,4,5,4.333,3.897
"222",4.5,3.857,4.75,4.429,3,4.207
"223",3.875,3.571,3.75,4.143,5,3.966
"224",2.875,2.143,3.75,4.143,2.333,3.069
"225",3,3.857,1.75,4.714,4,3.552
"226",3.625,3.429,4.25,3.571,3.667,3.655
