"REO","RESBP","EE","PE","RESAP","CEG"
4.625,3.571,4.25,4.429,4.333,4.241
3.5,2.429,3.5,3.714,3,3.241
2.5,2.857,4.25,3.429,3.333,3.138
4.625,3.286,1.75,4.857,3.333,3.828
3,3.143,2.25,3.714,3.667,3.172
4,1.571,2,4.286,3,3.103
2.25,2.429,4.5,3,3.667,2.931
4,3.571,2.5,4,3,3.586
3,3.571,4.25,4,3,3.552
3.5,3.429,4,3.857,1.333,3.414
3.125,4,4.25,4.143,3.667,3.793
4.25,2.429,2.25,5,1,3.379
5,4.429,3.25,5,3.667,4.483
4.75,4.143,4.75,4.714,4.667,4.586
3,2.429,4.25,4,2.333,3.207
2.125,1.571,2.5,3.143,2.333,2.31
2.625,2.857,2.75,2.429,3,2.69
1.25,1,4.75,2.857,1.667,2.103
4.5,4.429,3.25,4.714,2.333,4.138
4.875,1.571,4.5,4.143,1.333,3.483
3.5,2.714,3,5,1,3.345
3.125,3.286,3.5,3.571,2.667,3.276
3.625,3.286,1.75,4.857,2.667,3.483
3.5,3,4.5,4.429,4,3.793
4,2.571,4,3.714,3.333,3.517
4.25,2.857,4.5,4.143,4,3.897
3.375,3.714,4.5,4.429,3.667,3.897
3.625,3.286,3.75,4,4.667,3.759
2.625,1.429,2.5,4.143,3.667,2.793
3.375,3.714,2.75,3.857,3.333,3.483
3.375,2.429,4,3.857,3.667,3.379
4,3.143,3.5,4.286,3,3.69
4.875,2.571,5,3.286,3,3.759
5,3.286,5,4.857,4,4.448
4.875,3.857,5,4.571,3.333,4.414
3.25,2.429,4.5,4.571,4.333,3.655
5,5,5,5,3.667,4.862
3.25,3,3.5,4.714,3.333,3.586
5,4.429,4,5,1.333,4.345
3.25,2.857,3.75,3.571,2.667,3.241
3.375,2.571,4.5,4.429,3.333,3.586
3.875,2.714,3,4.143,3.333,3.483
4,3,3.5,4,2.333,3.517
3.125,3.714,2.25,4.714,2.333,3.448
4.125,3.286,2,2.714,4.667,3.345
5,2.286,3,4.571,1,3.552
5,4.286,4,5,5,4.69
3.25,3.286,1.5,3,3.667,3
4.375,1.714,3,4,3.333,3.345
2.375,2.286,4.25,4.571,3.667,3.276
4.375,2.857,4,4.429,3.667,3.897
3.875,2.286,5,4.714,3.667,3.828
3,3.429,2.5,4.286,4,3.448
3.125,3.143,2.75,4.286,3,3.345
2.375,3.286,4.5,4.429,2,3.345
4.125,1.857,4.75,4.429,3.667,3.69
4.125,2.857,3,2.714,2.667,3.172
1.875,3.429,3.25,2.571,4,2.828
3.25,3,2.25,2.857,2.333,2.862
4,3.429,3.25,4.429,4,3.862
3.125,4,3.25,3.571,4,3.552
3.625,3.429,2.5,4,4.333,3.586
3.5,2.857,1.75,4.143,3.333,3.241
2.5,2.857,3.5,5,3.333,3.414
