"","falta_de_atencao","impulsividade","planejamento"
"290",2.85714285714286,1.83333333333333,4.3
"291",4,4.25,4.6
"292",4.42857142857143,3.5,2.7
"293",4.14285714285714,2.91666666666667,3.3
"294",3.28571428571429,3.16666666666667,4.2
"295",2.85714285714286,2.33333333333333,3.9
"296",1.71428571428571,1.75,3.8
"297",4.57142857142857,4.66666666666667,4.5
"298",2.14285714285714,1.91666666666667,3.1
"299",3,2.5,3.6
"300",4.71428571428571,4.16666666666667,2.4
"301",3.28571428571429,3.33333333333333,3.6
"302",2.28571428571429,2.5,2.7
"303",4.85714285714286,3.08333333333333,4.3
"304",3.57142857142857,3.25,2
"305",2.85714285714286,2,3.7
"306",4.71428571428571,2.41666666666667,2.9
"307",3.42857142857143,3.91666666666667,2.7
"308",2.14285714285714,2.66666666666667,4.2
"309",3.14285714285714,2.25,3.8
"310",3.85714285714286,1.75,3.7
"311",4.14285714285714,1.41666666666667,3.3
"312",1.85714285714286,2.66666666666667,2.9
"313",2,2.25,2.6
"314",2,1.75,4.4
"315",2.71428571428571,2.16666666666667,3.5
"316",1.85714285714286,2.16666666666667,4.5
"317",2.28571428571429,1.91666666666667,4.1
"318",3.42857142857143,3.16666666666667,3.7
"319",4.42857142857143,1.83333333333333,2.7
"320",4.14285714285714,4.25,2.9
"321",4.42857142857143,3.58333333333333,4.6
"322",1.85714285714286,2.16666666666667,3.9
"323",3.71428571428571,3.25,3.1
"324",3.85714285714286,2.75,3.2
"325",4.42857142857143,4.5,3.4
"326",3.28571428571429,1.66666666666667,4.4
"327",3,3.33333333333333,3.7
"328",3.42857142857143,2.5,3.1
"329",3.42857142857143,2.41666666666667,3.5
"330",2.57142857142857,1.83333333333333,4.1
"331",2.71428571428571,2.58333333333333,1.7
"332",2.57142857142857,1.66666666666667,4
"333",2.85714285714286,2.5,4.2
"334",2.71428571428571,2.41666666666667,2.2
"335",2,2,4.2
"336",2.71428571428571,1.83333333333333,4.7
"337",3.14285714285714,2.33333333333333,4.2
"338",3.57142857142857,1.5,3
"339",2.14285714285714,2.08333333333333,3.9
"340",2.71428571428571,1.91666666666667,3.6
"341",4,3.25,1.7
"342",3.85714285714286,2.83333333333333,4.8
"343",3.71428571428571,3.08333333333333,3.3
"344",5,3.33333333333333,2.6
"345",2.28571428571429,1.75,3.9
"346",3.42857142857143,2.16666666666667,2.5
"347",2.28571428571429,3,4.5
"348",2.71428571428571,2.25,3.3
"349",2.71428571428571,2.83333333333333,3
"350",3.85714285714286,1.75,2.8
"351",3.28571428571429,2.58333333333333,2.8
"352",2,2.41666666666667,5
"353",3,3.5,2.7
"354",4.28571428571429,2.75,2.6
"355",2,2.83333333333333,4
"356",1.42857142857143,1.91666666666667,4.3
"357",4.85714285714286,2.75,3.1
"358",4.28571428571429,2.66666666666667,2.3
"359",2.42857142857143,1.66666666666667,2.9
"360",3.85714285714286,3,4.2
"361",2.71428571428571,3,3.7
"362",2.85714285714286,3.25,4
"363",2.42857142857143,2.5,4
"364",1.57142857142857,2.16666666666667,2.9
"365",3.42857142857143,2.83333333333333,2.6
"366",2.57142857142857,2.91666666666667,3.3
"367",4.57142857142857,2.08333333333333,2.7
"368",1.57142857142857,2.75,4.4
"369",3.42857142857143,2.58333333333333,3.9
"370",2.85714285714286,3.16666666666667,3.1
"371",2.28571428571429,1.83333333333333,3.2
"372",1.85714285714286,2.41666666666667,4.3
"373",2.85714285714286,1.91666666666667,3.4
"374",3.42857142857143,2.5,3.8
"375",4.14285714285714,3.08333333333333,3.2
"376",1.71428571428571,2.91666666666667,4
"377",2,2,3.3
"378",2.57142857142857,1.66666666666667,4
"379",2.28571428571429,1.83333333333333,3.9
"380",3.28571428571429,2.83333333333333,3.3
"381",2.71428571428571,3,3
"382",4,3.5,2.8
"383",3.28571428571429,2.83333333333333,3.4
"384",4.85714285714286,4.58333333333333,2.9
"385",3.71428571428571,3.08333333333333,3.1
"386",3.85714285714286,2.25,3.8
"387",3.57142857142857,2.58333333333333,3.8
"388",1,1.83333333333333,4.5
"389",4.85714285714286,3.41666666666667,3.5
"390",2.42857142857143,2.75,4.6
"391",4,2,2.7
"392",2.57142857142857,1.91666666666667,2.9
"393",2.28571428571429,2.16666666666667,3
"394",3.85714285714286,2.91666666666667,3.1
"395",3,4,2.4
"396",2.42857142857143,2.16666666666667,3.8
"397",2,2.08333333333333,3.9
"398",2.71428571428571,3.16666666666667,4.5
"399",3.14285714285714,2.5,3.3
"400",3,2.41666666666667,3.6
"401",1.85714285714286,2,4.3
"402",3.85714285714286,2.33333333333333,2.7
"403",2.28571428571429,1.83333333333333,3.9
"404",2.71428571428571,2.58333333333333,4.3
"405",4,2.91666666666667,3.1
"406",2.71428571428571,1.66666666666667,2.2
"407",3.85714285714286,2.16666666666667,4.4
"408",3.14285714285714,2.16666666666667,4.4
"409",2.28571428571429,2.16666666666667,3
"410",2.57142857142857,2.75,2.5
"411",2.71428571428571,2.5,3.5
"412",2.85714285714286,2.66666666666667,3
"413",2.14285714285714,2.83333333333333,3.5
"414",2.42857142857143,2.83333333333333,3.6
"415",3.57142857142857,2.41666666666667,2.5
"416",3.14285714285714,3.08333333333333,3.8
"417",4.28571428571429,2.91666666666667,3.2
"418",1.85714285714286,2.75,3.8
"419",3.57142857142857,2.25,2.7
"420",2.42857142857143,1.83333333333333,4
"421",2.14285714285714,3.58333333333333,4.4
"422",2.42857142857143,2.58333333333333,3.4
"423",3.57142857142857,1.83333333333333,4
"424",1.28571428571429,2.25,4.5
"425",2,2.75,3.1
"426",3,2.08333333333333,3.7
"427",3,3.25,3.9
"428",2,2.25,3.7
"429",2.85714285714286,2.75,3.1
"430",3.42857142857143,1.66666666666667,3.2
"431",2.57142857142857,1.83333333333333,3.8
"432",3.14285714285714,2.83333333333333,4.3
"433",4,2.75,3.5
"434",2.14285714285714,1.25,3.7
"435",3.14285714285714,3.16666666666667,2.7
"436",2.28571428571429,2,3.4
"437",3.57142857142857,3.08333333333333,2.8
"438",2.14285714285714,2.5,3.6
"439",2,2.16666666666667,2.9
"440",4,2.41666666666667,2.7
"441",4,3.25,2.6
"442",4.42857142857143,3.5,4.8
"443",2.14285714285714,2.58333333333333,3.2
"444",1.71428571428571,1.91666666666667,4.4
"445",3.85714285714286,2.16666666666667,3.3
"446",1.57142857142857,1.58333333333333,3.4
"447",3.14285714285714,2.25,3.5
"448",4.57142857142857,2.5,3.2
"449",4.28571428571429,2.41666666666667,3.7
"450",4.42857142857143,1.08333333333333,2.8
"451",2.57142857142857,2.66666666666667,3.7
"452",2.28571428571429,2.5,3.7
"453",4,3.5,2.8
"454",3.85714285714286,1.91666666666667,4
"455",3.28571428571429,2.58333333333333,4.2
"456",1.85714285714286,3.25,4
"457",4.28571428571429,2.41666666666667,2.1
"458",2.71428571428571,2.16666666666667,2.4
"459",4.42857142857143,3.58333333333333,3.2
"460",4.57142857142857,4.16666666666667,2.8
"461",3.28571428571429,2.25,3.9
"462",4.85714285714286,3.75,3.4
"463",4.28571428571429,3.75,2.9
"464",3.42857142857143,3.16666666666667,4.1
"465",3.71428571428571,2.33333333333333,4.2
"466",2,2.08333333333333,4.6
"467",3,2.33333333333333,3.6
"468",1.85714285714286,3,4
"469",4.14285714285714,1.75,3.5
"470",4,1.16666666666667,4
"471",3.28571428571429,2,4.7
"472",4.57142857142857,1.91666666666667,3.1
"473",1.57142857142857,1.5,4.4
"474",2.42857142857143,2.16666666666667,2.5
"475",4.14285714285714,3.16666666666667,4
"476",2.57142857142857,2.25,3.4
"477",3,3,3.7
"478",1.71428571428571,1.75,4.5
"479",3.14285714285714,3.08333333333333,2.8
"480",2.71428571428571,2.41666666666667,3.8
"481",2.57142857142857,2.41666666666667,4.2
"482",2.71428571428571,2.66666666666667,3.4
"483",3,1.66666666666667,3.8
"484",1.14285714285714,2.58333333333333,4.5
"485",2.42857142857143,2.08333333333333,3.8
"486",3.28571428571429,3.25,4
"487",3.57142857142857,3.66666666666667,3.7
"488",2.71428571428571,2.58333333333333,3.4
"489",2.14285714285714,2.25,4.4
"490",3.14285714285714,2.75,2.7
"491",2,2.41666666666667,3.4
"492",3.28571428571429,3.16666666666667,4.1
"493",3,2.83333333333333,2.7
"494",4.42857142857143,2.5,3.8
"495",3.57142857142857,2.5,3.8
"496",2.85714285714286,1.91666666666667,3.7
"497",3.42857142857143,1.58333333333333,2.5
"498",2.71428571428571,1.58333333333333,4.3
"499",2.71428571428571,2.08333333333333,3.3
"500",2.71428571428571,2.83333333333333,3.8
"501",3.28571428571429,2.5,2.8
"502",2.57142857142857,2.5,3.1
"503",2,2.66666666666667,3.8
"504",2.85714285714286,2.66666666666667,3.5
"505",2.85714285714286,3.08333333333333,4
"506",5,3.16666666666667,3.6
"507",4,1.58333333333333,4.5
